IBOVESPA - 1/1/2001 12:00:00 AM 12/31/2012 12:00:00 AM
Mês;Ano;Valor

1;2001;17.672,77
2;2001;15.891,41
3;2001;14.438,45
4;2001;14.917,54
5;2001;14.649,98
6;2001;14.559,79
7;2001;13.754,16
8;2001;12.840,60
9;2001;10.635,74
10;2001;11.364,71
11;2001;12.931,71
12;2001;13.577,57
1;2002;12.721,45
2;2002;14.033,29
3;2002;13.254,55
4;2002;13.085,12
5;2002;12.861,43
6;2002;11.139,16
7;2002;9.762,59
8;2002;10.382,20
9;2002;8.622,54
10;2002;10.167,71
11;2002;10.508,81
12;2002;11.268,47
1;2003;10.941,09
2;2003;10.280,61
3;2003;11.273,63
4;2003;12.556,70
5;2003;13.421,60
6;2003;12.972,58
7;2003;13.571,73
8;2003;15.174,49
9;2003;16.010,67
10;2003;17.982,49
11;2003;20.183,97
12;2003;22.236,39
1;2004;21.851,44
2;2004;21.755,02
3;2004;22.142,26
4;2004;19.607,23
5;2004;19.544,67
6;2004;21.148,91
7;2004;22.336,87
8;2004;22.803,19
9;2004;23.245,24
10;2004;23.052,18
11;2004;25.128,33
12;2004;26.196,25
1;2005;24.350,62
2;2005;28.139,13
3;2005;26.610,65
4;2005;24.843,70
5;2005;25.207,07
6;2005;25.051,21
7;2005;26.042,36
8;2005;28.044,83
9;2005;31.583,79
10;2005;30.193,51
11;2005;31.916,76
12;2005;33.455,94
1;2006;38.382,80
2;2006;38.610,39
3;2006;37.951,97
4;2006;40.363,42
5;2006;36.530,04
6;2006;36.630,66
7;2006;37.077,12
8;2006;36.232,22
9;2006;36.449,40
10;2006;39.262,79
11;2006;41.931,84
12;2006;44.473,71
1;2007;44.641,60
2;2007;43.892,31
3;2007;45.804,66
4;2007;48.956,39
5;2007;52.268,46
6;2007;54.392,06
7;2007;54.182,50
8;2007;54.637,24
9;2007;60.465,06
10;2007;65.317,70
11;2007;63.006,16
12;2007;63.886,10
1;2008;59.490,40
2;2008;63.489,30
3;2008;60.968,07
4;2008;67.868,46
5;2008;72.592,50
6;2008;65.017,58
7;2008;59.505,17
8;2008;55.680,41
9;2008;49.541,27
10;2008;37.256,84
11;2008;36.595,87
12;2008;37.550,31
1;2009;39.300,79
2;2009;38.183,31
3;2009;40.925,87
4;2009;47.289,53
5;2009;53.197,73
6;2009;51.465,46
7;2009;54.765,72
8;2009;56.488,98
9;2009;61.517,89
10;2009;61.545,50
11;2009;67.044,44
12;2009;68.588,41
1;2010;65.401,77
2;2010;66.503,27
3;2010;70.371,54
4;2010;67.529,73
5;2010;63.046,51
6;2010;60.935,90
7;2010;67.515,40
8;2010;65.145,45
9;2010;69.429,78
10;2010;70.673,30
11;2010;67.705,40
12;2010;69.304,81
1;2011;66.574,88
2;2011;67.383,22
3;2011;68.586,70
4;2011;66.132,86
5;2011;64.620,08
6;2011;62.403,64
7;2011;58.823,45
8;2011;56.495,12
9;2011;52.324,42
10;2011;58.338,39
11;2011;56.874,98
12;2011;56.754,08
1;2012;63.072,31
2;2012;65.811,73
3;2012;64.510,97
4;2012;61.820,26
5;2012;54.490,41
6;2012;54.354,63
7;2012;56.097,05
8;2012;57.061,45
9;2012;59.175,80
10;2012;57.068,18
11;2012;57.474,57
12;2012;60.952,08
