ANO;MÊS;ÍNDICE
1994;JAN;141,31
1994;FEV;198,22
1994;MAR;282,96
1994;ABR;403,73
1994;MAI;581,49
1994;JUN;857,29
1994;JUL;915,93
1994;AGO;932,97
1994;SET;947,24
1994;OUT;972,06
1994;NOV;999,37
1994;DEZ;1.016,46
1995;JAN;1.033,74
1995;FEV;1.044,28
1995;MAR;1.060,47
1995;ABR;1.086,24
1995;MAI;1.115,24
1995;JUN;1.140,44
1995;JUL;1.167,35
1995;AGO;1.178,91
1995;SET;1.190,58
1995;OUT;1.207,37
1995;NOV;1.225,12
1995;DEZ;1.244,23
1996;JAN;1.260,90
1996;FEV;1.273,89
1996;MAR;1.278,35
1996;ABR;1.294,46
1996;MAI;1.310,25
1996;JUN;1.325,84
1996;JUL;1.340,56
1996;AGO;1.346,46
1996;SET;1.348,48
1996;OUT;1.352,53
1996;NOV;1.356,86
1996;DEZ;1.363,24
1997;JAN;1.379,33
1997;FEV;1.386,23
1997;MAR;1.393,30
1997;ABR;1.405,56
1997;MAI;1.411,32
1997;JUN;1.418,94
1997;JUL;1.422,06
1997;AGO;1.421,78
1997;SET;1.422,63
1997;OUT;1.425,90
1997;NOV;1.428,32
1997;DEZ;1.434,46
1998;JAN;1.444,64
1998;FEV;1.451,29
1998;MAR;1.456,22
1998;ABR;1.459,71
1998;MAI;1.467,01
1998;JUN;1.467,30
1998;JUL;1.465,54
1998;AGO;1.458,07
1998;SET;1.454,86
1998;OUT;1.455,15
1998;NOV;1.453,40
1998;DEZ;1.458,20
1999;JAN;1.468,41
1999;FEV;1.483,83
1999;MAR;1.500,15
1999;ABR;1.508,55
1999;MAI;1.513,08
1999;JUN;1.515,95
1999;JUL;1.532,47
1999;AGO;1.541,05
1999;SET;1.545,83
1999;OUT;1.564,23
1999;NOV;1.579,09
1999;DEZ;1.588,56
2000;JAN;1.598,41
2000;FEV;1.600,49
2000;MAR;1.604,01
2000;ABR;1.610,75
2000;MAI;1.610,91
2000;JUN;1.614,62
2000;JUL;1.640,62
2000;AGO;1.662,11
2000;SET;1.665,93
2000;OUT;1.668,26
2000;NOV;1.673,60
2000;DEZ;1.683,47
2001;JAN;1.693,07
2001;FEV;1.700,86
2001;MAR;1.707,32
2001;ABR;1.717,22
2001;MAI;1.724,26
2001;JUN;1.733,23
2001;JUL;1.756,28
2001;AGO;1.768,57
2001;SET;1.773,52
2001;OUT;1.788,24
2001;NOV;1.800,94
2001;DEZ;1.812,65
2002;JAN;1.822,08
2002;FEV;1.828,64
2002;MAR;1.839,61
2002;ABR;1.854,33
2002;MAI;1.858,22
2002;JUN;1.866,02
2002;JUL;1.888,23
2002;AGO;1.900,50
2002;SET;1.914,18
2002;OUT;1.939,26
2002;NOV;1.997,83
2002;DEZ;2.039,78
2003;JAN;2.085,68
2003;FEV;2.118,43
2003;MAR;2.144,49
2003;ABR;2.165,29
2003;MAI;2.178,50
2003;JUN;2.175,23
2003;JUL;2.179,58
2003;AGO;2.186,99
2003;SET;2.204,05
2003;OUT;2.210,44
2003;NOV;2.217,96
2003;DEZ;2.229,49
2004;JAN;2.246,43
2004;FEV;2.260,13
2004;MAR;2.270,75
2004;ABR;2.279,15
2004;MAI;2.290,77
2004;JUN;2.307,03
2004;JUL;2.328,02
2004;AGO;2.344,08
2004;SET;2.351,82
2004;OUT;2.362,17
2004;NOV;2.378,47
2004;DEZ;2.398,92
2005;JAN;2.412,83
2005;FEV;2.427,07
2005;MAR;2.441,87
2005;ABR;2.463,11
2005;MAI;2.475,18
2005;JUN;2.474,68
2005;JUL;2.480,87
2005;AGO;2.485,09
2005;SET;2.493,79
2005;OUT;2.512,49
2005;NOV;2.526,31
2005;DEZ;2.535,40
2006;JAN;2.550,36
2006;FEV;2560,82
2006;MAR;2571,83
2006;ABR;2577,23
2006;MAI;2579,81
2006;JUN;2574,39
2006;JUL;2579,28
